aqi,co,cosubindex,county,latitude,longitude,monitor_date,monitordate,no2,no2subindex,o3,o38subindex,o3subindex,pm10,pm10subindex,pm25subindex,pm2_5,site_name,siteid,sitename,so2,so2subindex,status
85,,6,,,,,2026-03-28,,40,,,,,64,85,,,140,林森,,12,
91,,3,,,,,2026-03-28,,31,,87,,,62,91,,,139,員林,,31,
84,,8,,,,,2026-03-28,,53,,,,,61,84,,,88,臺灣大道,,6,
87,,3,,,,,2026-03-28,,24,,87,,,60,63,,,85,大城,,25,
101,,1,,,,,2026-03-28,,5,,101,,,61,65,,,84,富貴角,,0,
69,,3,,,,,2026-03-28,,21,,,,,62,69,,,83,麥寮,,19,
39,,2,,,,,2026-03-28,,14,,37,,,22,39,,,80,關山,,0,
71,,1,,,,,2026-03-28,,7,,71,,,53,64,,,78,馬公,,0,
71,,3,,,,,2026-03-28,,26,,71,,,43,70,,,77,金門,,6,
93,,2,,,,,2026-03-28,,17,,93,,,53,63,,,75,馬祖,,0,
86,,3,,,,,2026-03-28,,17,,51,,,60,86,,,72,埔里,,6,
85,,6,,,,,2026-03-28,,45,,,,,64,85,,,71,復興,,12,
52,,5,,,,,2026-03-28,,40,,,,,45,52,,,70,永和,,6,
111,,3,,,,,2026-03-28,,36,,77,,,73,111,,,69,竹山,,12,
72,,7,,,,,2026-03-28,,57,,,,,64,72,,,68,中壢,,6,
62,,10,,,,,2026-03-28,,62,,,,,50,56,,,67,三重,,12,
46,,2,,,,,2026-03-28,,21,,45,,,33,46,,,66,冬山,,0,
44,,2,,,,,2026-03-28,,17,,44,,,27,40,,,65,宜蘭,,6,
67,,2,,,,,2026-03-28,,5,,67,,,10,6,,,64,陽明,,6,
54,,3,,,,,2026-03-28,,26,,54,,,32,41,,,63,花蓮,,6,
46,,2,,,,,2026-03-28,,17,,46,,,27,44,,,62,臺東,,6,
49,,2,,,,,2026-03-28,,0,,49,,,22,31,,,61,恆春,,0,
77,,3,,,,,2026-03-28,,43,,77,,,59,75,,,60,潮州,,19,
81,,5,,,,,2026-03-28,,29,,61,,,62,81,,,59,屏東,,31,
87,,5,,,,,2026-03-28,,53,,54,,,64,87,,,58,小港,,25,
