sitename,county,aqi,pollutant,status,so2,so2_avg,co,co_8hr,o3,o3_8hr,pm10,pm10_avg,pm25,pm25_avg,no2,nox,no,windspeed,winddirec,datacreationdate,longitude,latitude,siteid,unit
屏東（枋山）,屏東縣,104,臭氧八小時,對敏感族群不健康,0.7,0.0,0.31,0.2,95.0,72.0,52.0,44.0,30.0,24.4,3.0,3.2,0.0,0.6,258.0,2026-03-21 17:00:00,120.651472,22.260899,313,
新北（樹林）,新北市,45,,良好,0.2,0.0,0.29,0.2,49.0,49.0,9.0,9.0,9.0,8.5,10.0,12.1,1.9,1.4,104.0,2026-03-21 17:00:00,121.38352778,24.94902778,311,
屏東（琉球）,屏東縣,82,細懸浮微粒,普通,0.0,1.0,0.17,0.3,57.0,64.0,44.0,54.0,15.0,23.8,2.0,3.6,0.9,3.9,322.0,2026-03-21 17:00:00,120.37722,22.35222,204,
南投（鹿谷）,南投縣,96,細懸浮微粒,普通,1.6,1.0,0.32,0.2,66.0,57.0,59.0,48.0,35.0,28.8,6.0,7.5,0.9,0.7,287.0,2026-03-21 17:00:00,120.7944772,23.71867609,203,
林森,臺南市,73,懸浮微粒,普通,1.0,1.0,0.35,0.4,51.0,52.0,44.0,51.0,16.0,20.3,7.0,10.0,2.2,2.2,43.0,2026-03-21 17:00:00,120.22216042,22.98522502,140,
員林,彰化縣,92,細懸浮微粒,普通,1.5,1.0,0.29,0.2,56.0,58.0,55.0,45.0,29.0,27.4,8.0,9.7,1.6,4.1,284.0,2026-03-21 17:00:00,120.5631893,23.9615945,139,
臺灣大道,臺中市,69,細懸浮微粒,普通,0.5,0.0,0.42,0.4,43.0,46.0,52.0,34.0,19.0,19.0,16.0,28.6,11.8,1.5,345.0,2026-03-21 17:00:00,120.6567111,24.1589,88,
大城,彰化縣,61,臭氧八小時,普通,0.8,1.0,0.21,0.1,61.0,58.0,30.0,30.0,13.0,15.1,1.0,3.0,1.6,6.2,158.0,2026-03-21 17:00:00,120.26964167,23.85493056,85,
富貴角,新北市,61,臭氧八小時,普通,0.4,0.0,0.19,0.1,60.0,58.0,12.0,22.0,5.0,8.7,1.0,1.1,0.0,6.3,43.0,2026-03-21 17:00:00,121.53656894,25.29681695,84,
麥寮,雲林縣,57,懸浮微粒,普通,0.7,0.0,0.2,0.1,57.0,54.0,35.0,36.0,16.0,13.5,3.0,5.0,1.9,5.2,351.0,2026-03-21 17:00:00,120.251825,23.753506,83,
關山,臺東縣,38,,良好,0.2,0.0,0.21,0.2,45.0,41.0,24.0,16.0,10.0,8.7,2.0,4.1,1.2,2.5,49.0,2026-03-21 17:00:00,121.161933,23.045083,80,
馬公,澎湖縣,53,細懸浮微粒,普通,0.4,0.0,0.2,0.1,55.0,54.0,22.0,22.0,13.0,13.1,2.0,3.2,0.9,5.2,23.0,2026-03-21 17:00:00,119.566158,23.569031,78,
金門,金門縣,68,細懸浮微粒,普通,1.8,1.0,0.33,0.3,62.0,60.0,26.0,29.0,19.0,18.7,9.0,10.4,0.7,1.9,91.0,2026-03-21 17:00:00,118.312256,24.432133,77,
馬祖,連江縣,47,,良好,0.7,0.0,0.18,0.1,56.0,51.0,21.0,21.0,9.0,11.2,4.0,5.7,0.8,1.9,342.0,2026-03-21 17:00:00,119.952724,26.153736,75,
埔里,南投縣,76,細懸浮微粒,普通,1.0,1.0,0.29,0.2,59.0,49.0,35.0,31.0,32.0,21.5,4.0,5.5,0.6,1.9,259.0,2026-03-21 17:00:00,120.967903,23.968842,72,
復興,高雄市,83,細懸浮微粒,普通,0.6,0.0,0.27,0.3,53.0,55.0,46.0,58.0,16.0,24.3,7.0,9.0,1.5,1.2,278.0,2026-03-21 17:00:00,120.312017,22.608711,71,
永和,新北市,41,,良好,0.8,0.0,0.3,0.3,46.0,44.0,13.0,12.0,8.0,7.2,7.0,9.5,1.9,1.3,96.0,2026-03-21 17:00:00,121.516306,25.017,70,
竹山,南投縣,95,細懸浮微粒,普通,2.0,1.0,0.26,0.2,72.0,64.0,49.0,52.0,25.0,28.5,6.0,7.0,1.0,2.2,296.0,2026-03-21 17:00:00,120.677306,23.756389,69,
中壢,桃園市,55,細懸浮微粒,普通,0.9,0.0,0.48,0.4,27.0,27.0,24.0,30.0,14.0,13.9,26.0,38.7,12.6,0.8,11.0,2026-03-21 17:00:00,121.221667,24.953278,68,
三重,新北市,60,二氧化氮,普通,1.6,1.0,0.88,0.7,20.0,25.0,14.0,15.0,9.0,7.6,36.0,68.7,32.2,,,2026-03-21 17:00:00,121.493806,25.072611,67,
冬山,宜蘭縣,44,,良好,1.1,1.0,0.18,0.2,48.0,48.0,9.0,12.0,4.0,7.9,3.0,4.5,1.0,1.9,166.0,2026-03-21 17:00:00,121.792928,24.632203,66,
