siteid,sitename,monitordate,aqi,o38subindex,o3subindex,pm25subindex,pm10subindex,cosubindex,so2subindex,no2subindex
140,林森,2026-03-20,90,,,90.0,79.0,6.0,12.0,52.0
139,員林,2026-03-20,93,93.0,,82.0,69.0,3.0,12.0,31.0
88,臺灣大道,2026-03-20,79,,,79.0,62.0,7.0,6.0,52.0
85,大城,2026-03-20,90,90.0,,70.0,68.0,2.0,12.0,19.0
84,富貴角,2026-03-20,77,77.0,,67.0,64.0,2.0,0.0,5.0
83,麥寮,2026-03-20,67,,,67.0,63.0,3.0,12.0,19.0
80,關山,2026-03-20,45,45.0,,31.0,18.0,2.0,6.0,10.0
78,馬公,2026-03-20,84,84.0,,71.0,55.0,2.0,0.0,12.0
77,金門,2026-03-20,87,87.0,,80.0,57.0,3.0,12.0,29.0
75,馬祖,2026-03-20,97,97.0,,84.0,72.0,2.0,6.0,14.0
72,埔里,2026-03-20,94,74.0,,94.0,68.0,3.0,6.0,21.0
71,復興,2026-03-20,99,,,99.0,79.0,6.0,6.0,52.0
70,永和,2026-03-20,68,,,68.0,57.0,6.0,6.0,36.0
69,竹山,2026-03-20,106,100.0,,106.0,86.0,3.0,12.0,33.0
68,中壢,2026-03-20,70,,,70.0,58.0,8.0,6.0,59.0
67,三重,2026-03-20,65,,,65.0,53.0,10.0,12.0,64.0
66,冬山,2026-03-20,42,42.0,,42.0,30.0,2.0,0.0,21.0
65,宜蘭,2026-03-20,47,47.0,,36.0,37.0,3.0,6.0,21.0
64,陽明,2026-03-20,51,51.0,,20.0,18.0,2.0,6.0,2.0
63,花蓮,2026-03-20,71,71.0,,33.0,28.0,5.0,6.0,21.0
62,臺東,2026-03-20,54,54.0,,36.0,28.0,2.0,12.0,12.0
61,恆春,2026-03-20,51,51.0,,21.0,17.0,2.0,0.0,2.0
60,潮州,2026-03-20,108,108.0,,96.0,81.0,5.0,19.0,24.0
59,屏東,2026-03-20,96,90.0,,96.0,82.0,3.0,6.0,24.0
58,小港,2026-03-20,96,49.0,,96.0,78.0,6.0,12.0,61.0
57,前鎮,2026-03-20,92,,,92.0,81.0,5.0,12.0,45.0
56,前金,2026-03-20,98,74.0,,98.0,81.0,5.0,6.0,43.0
54,左營,2026-03-20,99,67.0,,99.0,80.0,5.0,6.0,40.0
53,楠梓,2026-03-20,95,58.0,,95.0,84.0,5.0,6.0,31.0
52,林園,2026-03-20,98,51.0,,98.0,81.0,5.0,19.0,50.0
51,大寮,2026-03-20,109,67.0,,109.0,84.0,5.0,19.0,48.0
50,鳳山,2026-03-20,104,,,104.0,77.0,7.0,6.0,54.0
49,仁武,2026-03-20,106,54.0,,106.0,79.0,6.0,12.0,52.0
48,橋頭,2026-03-20,101,51.0,,101.0,77.0,5.0,6.0,36.0
47,美濃,2026-03-20,100,100.0,,84.0,67.0,3.0,6.0,14.0
46,臺南,2026-03-20,84,67.0,,84.0,73.0,5.0,12.0,48.0
45,安南,2026-03-20,88,77.0,,88.0,76.0,5.0,12.0,36.0
44,善化,2026-03-20,90,80.0,,90.0,80.0,3.0,6.0,29.0
43,新營,2026-03-20,87,74.0,,87.0,80.0,3.0,12.0,31.0
42,嘉義,2026-03-20,104,67.0,,104.0,88.0,5.0,12.0,33.0
41,臺西,2026-03-20,67,,,67.0,67.0,3.0,12.0,21.0
40,朴子,2026-03-20,80,80.0,,74.0,69.0,2.0,12.0,21.0
39,新港,2026-03-20,80,80.0,,80.0,76.0,3.0,19.0,26.0
38,崙背,2026-03-20,78,74.0,,78.0,74.0,3.0,12.0,26.0
37,斗六,2026-03-20,93,93.0,,93.0,78.0,3.0,12.0,29.0
36,南投,2026-03-20,93,93.0,,86.0,69.0,3.0,6.0,40.0
35,二林,2026-03-20,81,80.0,,73.0,81.0,3.0,25.0,21.0
34,線西,2026-03-20,73,,,73.0,68.0,3.0,25.0,29.0
33,彰化,2026-03-20,74,74.0,,72.0,64.0,3.0,25.0,31.0
32,西屯,2026-03-20,71,71.0,,63.0,64.0,3.0,6.0,48.0
31,忠明,2026-03-20,74,74.0,,67.0,62.0,3.0,6.0,33.0
30,大里,2026-03-20,77,77.0,,72.0,65.0,5.0,6.0,33.0
29,沙鹿,2026-03-20,74,74.0,,71.0,69.0,3.0,6.0,21.0
