hour,total_count,high_pollution_count,high_pollution_ratio
0,2537,163,0.06424911312573907
1,2537,177,0.06976744186046512
2,2537,203,0.08001576665352779
3,2537,211,0.08316909735908554
4,2537,218,0.08592826172644856
5,2537,232,0.09144659046117462
6,2537,225,0.08868742609381158
7,2537,225,0.08868742609381158
8,2537,233,0.09184075679936933
9,2537,239,0.09420575482853764
10,2537,246,0.09696491919590067
11,2537,225,0.08868742609381158
12,2537,197,0.07765076862435948
13,2537,162,0.06385494678754434
14,2452,137,0.05587275693311582
15,2536,113,0.044558359621451105
16,2536,114,0.044952681388012616
17,2536,129,0.050867507886435334
18,2535,150,0.05917159763313609
19,2535,157,0.06193293885601578
20,2538,145,0.05713159968479117
21,2536,148,0.0583596214511041
22,2537,156,0.06148994875837603
23,2539,158,0.062229224103977944
