county,spike_count,avg_spike_strength,max_spike_strength
新北市,64,33.761067708333336,53.041666666666664
屏東縣,62,44.1760752688172,76.29166666666666
桃園市,43,36.940891472868216,59.5
南投縣,39,35.39999613912657,48.125
臺中市,30,31.141666666666666,54.875
苗栗縣,29,34.93247126436781,73.125
雲林縣,29,37.00287356321839,63.41666666666667
彰化縣,23,51.3617631034107,66.79166666666667
臺北市,21,26.44047619047619,39.208333333333336
嘉義縣,12,53.07638888888889,73.75
新竹縣,12,24.399305555555557,30.875
臺東縣,6,30.45138888888889,36.91666666666667
宜蘭縣,4,19.572916666666668,21.541666666666668
高雄市,3,35.48611111111111,38.916666666666664
臺南市,1,27.375,27.375
