sitename,county,spike_count,avg_spike_strength,max_spike_strength
潮州,屏東縣,24,43.197916666666664,63.58333333333333
屏東（枋山）,屏東縣,21,53.51587301587301,76.29166666666666
屏東（琉球）,屏東縣,20,37.782066993464056,49.294117647058826
龍潭,桃園市,20,37.98125,59.5
中壢,桃園市,20,37.08958333333333,50.29166666666667
頭份,苗栗縣,16,37.8515625,61.75
新北（樹林）,新北市,16,38.986979166666664,48.625
沙鹿,臺中市,15,29.62222222222222,49.083333333333336
斗六,雲林縣,14,27.428571428571427,63.41666666666667
竹山,南投縣,12,33.552083333333336,44.95833333333333
板橋,新北市,12,29.368055555555557,42.958333333333336
三義,苗栗縣,11,32.45454545454545,39.208333333333336
南投（鹿谷）,南投縣,11,38.13257575757576,48.125
中山,臺北市,10,25.1625,30.708333333333336
大城,彰化縣,10,56.06666666666666,66.79166666666667
竹東,新竹縣,10,25.025,30.875
大里,臺中市,8,31.135416666666664,54.875
朴子,嘉義縣,8,51.27604166666667,73.75
富貴角,新北市,7,40.57738095238095,67.5
臺東,臺東縣,6,30.45138888888889,36.91666666666667
麥寮,雲林縣,6,46.5,57.16666666666667
永和,新北市,6,23.409722222222218,26.375
崙背,雲林縣,5,38.858333333333334,55.66666666666667
冬山,宜蘭縣,4,19.572916666666668,21.541666666666668
員林,彰化縣,4,43.270833333333336,49.29166666666667
淡水,新北市,4,32.447916666666664,34.541666666666664
臺西,雲林縣,4,53.94791666666667,62.41666666666667
臺灣大道,臺中市,4,50.416666666666664,61.833333333333336
屏東,屏東縣,4,45.864583333333336,80.33333333333334
南投,南投縣,4,32.15625,37.916666666666664
古亭,臺北市,4,26.354166666666664,28.75
豐原,臺中市,4,25.25,26.083333333333332
新店,新北市,3,30.347222222222218,37.5
嘉義（建國路）,嘉義縣,3,63.083333333333336,66.5
埔里,南投縣,3,22.569444444444446,23.458333333333336
二林,彰化縣,3,38.76388888888889,39.79166666666667
林口,新北市,3,24.083333333333332,26.75
湖口,新竹縣,3,31.041666666666668,50.583333333333336
苗栗,苗栗縣,3,32.31944444444444,57.916666666666664
土城,新北市,2,30.229166666666668,41.333333333333336
士林,臺北市,2,25.0,30.583333333333336
恆春,屏東縣,2,29.666666666666668,32.458333333333336
大寮,高雄市,2,33.77083333333333,35.541666666666664
桃園,桃園市,2,26.458333333333332,30.791666666666664
松山,臺北市,2,34.9375,35.25
菜寮,新北市,2,27.395833333333332,30.25
彰化,彰化縣,2,52.9375,54.166666666666664
萬華,臺北市,2,19.5625,20.208333333333336
汐止,新北市,2,20.8125,23.041666666666664
大園,桃園市,1,34.125,34.125
林園,高雄市,1,38.916666666666664,38.916666666666664
新港,嘉義縣,1,37.458333333333336,37.458333333333336
新營,臺南市,1,27.375,27.375
